offset,dA,tc,A,f,df
29.5506843461,0.03186357,75.5018175636,6.4313681469,0.1979027382,0.0070372344
29.5506843461,0.03186357,75.5018175636,6.4313681469,0.1979027382,0.0070372344
29.4759581243,0.0175190442,75.1671830116,6.4313681469,0.1979027382,0.0070372344
29.4759581243,0.0413345525,75.1671830116,6.4313681469,0.1976332605,0.0070372344
29.4759581243,0.0413345525,75.2299997628,6.4313681469,0.1976332605,0.0070372344
29.4759581243,0.0413345525,75.6327453212,6.4313681469,0.1976332605,0.0070372344
29.4759581243,0.0413345525,75.1441313202,6.4313681469,0.1972864314,0.0070372344
29.4759581243,0.0327436805,75.1441313202,6.4313681469,0.1972864314,0.007042764
29.4759581243,0.0327436805,75.4116038278,6.4313681469,0.1972864314,0.007042764
28.7443510257,0.0327436805,75.4116038278,7.9424856977,0.1972864314,0.007042764
28.9593731526,0.0327436805,75.4116038278,7.9424856977,0.1972864314,0.007042764
28.9593731526,0.0298972292,75.4116038278,9.6542336626,0.1972864314,0.0070270203
28.9593731526,0.0298972292,75.4116038278,9.6542336626,0.1972864314,0.0070270203
28.9593731526,0.015975099,75.4116038278,9.6542336626,0.1978583695,0.0070270203
30.0789565892,0.015975099,75.4116038278,9.6542336626,0.1978583695,0.0070270203
28.9861143214,0.015975099,75.4116038278,9.6542336626,0.1978583695,0.0070270203
28.9861143214,0.015975099,75.4116038278,8.0240484942,0.1978583695,0.0070270203
28.9861143214,0.0035406351,75.4116038278,8.0240484942,0.1978583695,0.0070270203
29.6515054185,0.0035406351,75.4116038278,8.6176899946,0.1978583695,0.0070270203
28.8053816646,0.003233343,75.4215396492,7.7351456623,0.1978583695,0.0070270203
28.8053816646,0.0131988245,75.4451419272,8.772731623,0.1978583695,0.0070270203
28.8053816646,0.0131988245,75.4451419272,8.772731623,0.1978583695,0.0070270203
29.0678782136,0.0131988245,75.4451419272,8.772731623,0.1978583695,0.0070270203
29.0678782136,0.0131988245,75.4451419272,8.772731623,0.1981378122,0.0070270203
29.0678782136,0.0131988245,74.5598645072,9.0086360968,0.1981378122,0.0070270203
29.3885043329,0.0006834679,74.5598645072,8.6409960492,0.1986310145,0.0070270203
29.3885043329,0.0006834679,74.5598645072,8.3696665101,0.1986310145,0.0070270203
29.3885043329,0.0006834679,74.5598645072,8.2125988968,0.1986310145,0.0070076473
29.3885043329,0.0006834679,74.7194297229,8.3808555975,0.1986310145,0.0070076473
29.3885043329,0.0006834679,74.7194297229,8.3808555975,0.1986310145,0.0070076473
29.3885043329,0.048936337,73.5411534359,8.3808555975,0.1986310145,0.0070076473
29.3885043329,0.048936337,74.9386431597,8.5901582818,0.1986310145,0.0070076473
29.2772100434,0.048936337,74.9386431597,8.5901582818,0.1986310145,0.0070147211
29.2772100434,0.0480480464,74.9386431597,5.7521686682,0.1986310145,0.0070147211
29.0618291387,0.0480480464,74.9386431597,6.7170526289,0.1986310145,0.0070147211
29.0618291387,0.0480480464,74.9386431597,6.7170526289,0.1986310145,0.0070147211
